;;;;;;;;;SCA;SCA;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;GCA;GCA;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG;Matches
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;Crystal Palace;eng Premier League;28;1990;27.9;62;2.23;32;23;3;2;2;0;5;0.18;3;1;1;0;0;0;0;Matches
2;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;eng Premier League;19;2000;36.0;55;1.53;42;2;3;3;4;1;3;0.08;1;1;0;0;1;0;0;Matches
3;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;31;1987;28.0;16;0.57;11;0;0;4;1;0;1;0.04;1;0;0;0;0;0;0;Matches
4;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;de Bundesliga;22;1996;1.7;2;1.15;1;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
5;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;fr Ligue 1;26;1992;20.2;46;2.28;27;14;1;2;1;1;4;0.20;2;1;0;1;0;0;0;Matches
6;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;fr Ligue 1;19;2000;6.9;12;1.73;8;0;0;0;4;0;1;0.14;0;0;0;0;1;0;0;Matches
7;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;de Bundesliga;33;1986;18.8;11;0.59;10;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
8;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Chelsea;eng Premier League;21;1997;24.6;50;2.03;33;0;6;6;2;3;10;0.41;4;0;3;2;1;0;0;Matches
9;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;de Bundesliga;29;1990;7.4;10;1.36;8;1;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
10;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;it Serie A;31;1988;35.1;27;0.77;24;0;1;1;1;0;3;0.09;3;0;0;0;0;0;0;Matches
11;Che Adams\Che-Adams;eng ENG;FW;Southampton;eng Premier League;23;1996;12.3;25;2.03;15;0;3;2;4;1;5;0.41;2;0;1;0;2;0;0;Matches
12;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;de Bundesliga;20;1999;10.6;18;1.70;14;1;0;2;1;0;2;0.19;1;0;0;0;1;0;0;Matches
13;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;de Bundesliga;26;1993;8.3;20;2.41;16;0;1;1;2;0;4;0.48;3;0;0;0;1;0;0;Matches
14;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;es La Liga;32;1987;0.3;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
15;Bobby Adekanye\Bobby-Adekanye;nl NED;FW;Lazio;it Serie A;20;1999;2.1;6;2.87;3;0;0;1;2;0;0;0.00;0;0;0;0;0;0;0;Matches
16;Claud Adjapong\Claud-Adjapong;it ITA;DF;Hellas Verona;it Serie A;21;1998;2.6;1;0.39;0;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
17;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;fr Ligue 1;19;2000;0.5;3;5.87;2;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
18;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;fr Ligue 1;19;2000;11.3;38;3.35;25;5;4;2;1;1;7;0.62;3;1;2;1;0;0;0;Matches
19;Adrián\Adrian;es ESP;GK;Liverpool;eng Premier League;32;1987;9.7;2;0.21;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
20;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Club;es La Liga;38;1981;2.3;2;0.87;1;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
21;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;es La Liga;22;1996;20.1;33;1.65;23;4;2;1;3;0;0;0.00;0;0;0;0;0;0;0;Matches
