;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
214;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;DFMF;Granada;es La Liga;22;1996;4.0;19;10;10;6;3;5;15;33.3;10;95;22;23.2;43;32;20;4;1;0;3;2;21;8;0;Matches
215;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;DFMF;Monaco;fr Ligue 1;22;1996;11.7;56;33;29;23;4;21;56;37.5;35;298;92;30.9;110;136;52;25;2;0;23;15;71;26;1;Matches
216;Borja Bastón\Borja-Baston;es ESP;MFFW;Aston Villa;eng Premier League;26;1992;0.2;0;0;0;0;0;0;2;0.0;2;10;1;10.0;0;9;1;1;0;0;1;0;0;1;1;Matches
217;Alessandro Bastoni\Alessandro-Bastoni;it ITA;DF;Inter;it Serie A;20;1999;21.3;38;21;16;15;7;16;32;50.0;16;246;67;27.2;107;111;28;34;13;0;21;14;52;74;0;Matches
218;Bastos\Bastos;ao ANG;DF;Lazio;it Serie A;28;1991;8.5;13;10;7;6;0;4;14;28.6;10;113;33;29.2;67;40;6;17;10;0;7;11;24;33;0;Matches
219;Oliver Batista-Meier\Oliver-Batista-Meier;de GER;FW;Bayern Munich;de Bundesliga;18;2001;0.1;0;0;0;0;0;0;2;0.0;2;3;0;0.0;2;1;0;0;0;0;0;0;0;0;0;Matches
220;Michy Batshuayi\Michy-Batshuayi;be BEL;FW;Chelsea;eng Premier League;25;1993;2.7;2;1;2;0;0;0;2;0.0;2;72;17;23.6;5;34;33;4;2;0;2;0;2;1;0;Matches
221;Cristian Battocchio\Cristian-Battocchio;it ITA;MF;Brest;fr Ligue 1;27;1992;15.5;32;25;11;16;5;9;37;24.3;28;282;72;25.5;86;138;58;18;4;0;14;19;51;34;0;Matches
222;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;de Bundesliga;29;1990;30.0;0;0;0;0;0;0;0;;0;3;0;0.0;3;0;0;1;0;0;1;0;0;3;0;Matches
223;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;de Bundesliga;31;1988;19.9;43;29;18;18;7;13;49;26.5;36;434;152;35.0;148;225;61;49;5;0;44;13;56;20;1;Matches
224;Christoph Baumgartner\Christoph-Baumgartner;at AUT;MFFW;Hoffenheim;de Bundesliga;19;1999;16.6;35;21;17;13;5;9;42;21.4;33;411;115;28.0;97;172;142;31;2;0;29;10;45;10;0;Matches
225;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;FW;Augsburg;de Bundesliga;22;1996;4.2;2;2;0;2;0;1;3;33.3;2;75;17;22.7;17;42;16;5;1;0;4;4;6;4;0;Matches
226;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;de Bundesliga;25;1994;23.4;26;18;12;10;4;8;27;29.6;19;366;94;25.7;67;171;128;28;5;0;23;9;35;30;0;Matches
227;Rodrigo Becão\Rodrigo-Becao;br BRA;DF;Udinese;it Serie A;23;1996;24.6;69;45;44;20;5;28;52;53.8;24;327;102;31.2;214;92;21;50;22;0;28;30;99;95;1;Matches
228;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;de Bundesliga;24;1995;6.0;4;2;3;0;1;1;6;16.7;5;84;20;23.8;20;45;19;3;0;0;3;2;6;3;0;Matches
229;Timo Becker\Timo-Becker;de GER;DFMF;Schalke 04;de Bundesliga;22;1997;3.7;14;5;5;6;3;5;10;50.0;5;66;21;31.8;31;23;12;5;1;0;4;2;16;7;0;Matches
230;Jan Bednarek\Jan-Bednarek;pl POL;DF;Southampton;eng Premier League;23;1996;34.0;70;38;47;16;7;32;73;43.8;41;321;102;31.8;206;102;13;61;26;0;35;44;114;329;4;Matches
231;Asmir Begovi?\Asmir-Begovic;ba BIH;GK;Milan;it Serie A;32;1987;1.4;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
232;Valon Behrami\Valon-Behrami;ch SUI;MF;Genoa;it Serie A;34;1985;12.3;36;26;12;18;6;8;35;22.9;27;357;100;28.0;122;188;47;35;10;0;25;9;45;17;0;Matches
233;Maximilian Beier\Maximilian-Beier;de GER;FW;Hoffenheim;de Bundesliga;16;2002;1.2;4;3;1;1;2;1;3;33.3;2;37;14;37.8;3;19;15;0;0;0;0;0;4;0;0;Matches
234;Gaëtan Belaud\Gaetan-Belaud;fr FRA;DF;Brest;fr Ligue 1;32;1986;6.4;13;8;9;4;0;4;10;40.0;6;52;10;19.2;26;14;12;15;3;0;12;11;24;16;0;Matches
235;Ishak Belfodil\Ishak-Belfodil;dz ALG;FWMF;Hoffenheim;de Bundesliga;27;1992;3.0;1;1;0;0;1;0;0;;0;13;4;30.8;1;4;8;2;1;0;1;0;1;2;0;Matches
236;Haris Belkebla\Haris-Belkebla;dz ALG;MF;Brest;fr Ligue 1;25;1994;20.2;57;42;27;25;5;11;34;32.4;23;440;124;28.2;165;216;59;39;6;0;33;35;92;30;0;Matches
237;Raoul Bellanova\Raoul-Bellanova;it ITA;DF;Bordeaux;fr Ligue 1;19;2000;0.7;2;1;2;0;0;0;1;0.0;1;11;3;27.3;4;4;3;0;0;0;0;0;2;2;0;Matches
238;Raoul Bellanova\Raoul-Bellanova;it ITA;DF;Atalanta;it Serie A;19;2000;0.2;0;0;0;0;0;0;0;;0;3;2;66.7;0;3;0;0;0;0;0;0;0;0;0;Matches
239;Karim Bellarabi\Karim-Bellarabi;de GER;FWDF;Leverkusen;de Bundesliga;29;1990;15.8;19;11;5;10;4;4;30;13.3;26;297;99;33.3;60;141;96;18;0;0;18;8;27;3;0;Matches
240;Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde;fr FRA;MF;Strasbourg;fr Ligue 1;21;1998;16.6;38;27;19;17;2;7;18;38.9;11;300;103;34.3;99;152;49;20;2;0;18;20;58;18;0;Matches
241;Héctor Bellerín\Hector-Bellerin;es ESP;DF;Arsenal;eng Premier League;24;1995;12.9;23;16;12;7;4;9;31;29.0;22;183;46;25.1;71;87;25;28;4;0;24;10;33;34;0;Matches
