;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
1176;Ismail Jakobs\Ismail-Jakobs;de GER;FWDF;Köln;de Bundesliga;19;1999;18.6;53;34;30;13;10;10;18;55.6;8;405;108;26.7;147;165;93;34;2;0;32;13;66;47;0;Matches
1177;Christophe Jallet\Christophe-Jallet;fr FRA;DF;Amiens;fr Ligue 1;35;1983;9.5;28;15;17;9;2;11;35;31.4;24;176;49;27.8;75;75;26;23;5;0;18;13;41;34;0;Matches
1178;Daniel James\Daniel-James;wal WAL;FW;Manchester Utd;eng Premier League;21;1997;25.4;25;15;6;12;7;6;45;13.3;39;569;143;25.1;125;262;182;37;4;0;33;4;29;10;0;Matches
1179;Matty James\Matty-James;eng ENG;MF;Leicester City;eng Premier League;28;1991;0.1;0;0;0;0;0;0;0;;0;2;2;100.0;0;1;1;0;0;0;0;0;0;0;0;Matches
1180;Reece James\Reece-James;eng ENG;DF;Chelsea;eng Premier League;19;1999;16.8;42;23;20;17;5;14;31;45.2;17;271;73;26.9;124;113;34;46;8;0;38;14;56;39;0;Matches
1181;Marko Jankovi?\Marko-Jankovic;me MNE;MFDF;SPAL;it Serie A;24;1995;1.3;3;2;1;1;1;1;3;33.3;2;39;11;28.2;7;20;12;4;2;0;2;0;3;1;0;Matches
1182;Jakub Jankto\Jakub-Jankto;cz CZE;MF;Sampdoria;it Serie A;23;1996;23.3;28;15;9;15;4;10;47;21.3;37;433;94;21.7;110;219;104;45;4;0;41;18;46;23;0;Matches
1183;Daryl Janmaat\Daryl-Janmaat;nl NED;DF;Watford;eng Premier League;30;1989;6.7;16;6;7;5;4;6;17;35.3;11;137;31;22.6;55;53;29;14;2;0;12;7;23;25;0;Matches
1184;Laurent Jans\Laurent-Jans;lu LUX;DF;Paderborn 07;de Bundesliga;26;1992;17.5;42;24;30;8;4;21;61;34.4;40;272;100;36.8;164;81;27;31;8;0;23;16;58;53;0;Matches
1185;Tony Jantschke\Tony-Jantschke;de GER;DF;M'Gladbach;de Bundesliga;29;1990;11.2;39;16;26;12;1;16;29;55.2;13;129;46;35.7;75;49;5;31;15;0;16;19;58;63;0;Matches
1186;Adnan Januzaj\Adnan-Januzaj;be BEL;FWMF;Real Sociedad;es La Liga;24;1995;13.0;9;4;3;2;4;3;19;15.8;16;174;43;24.7;33;89;52;10;0;0;10;7;16;4;1;Matches
1187;Rune Jarstein\Rune-Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;34;1984;28.3;0;0;0;0;0;0;3;0.0;3;2;0;0.0;2;0;0;0;0;0;0;0;0;1;2;Matches
1188;Jason\Jason;es ESP;MF;Getafe;es La Liga;25;1994;13.1;31;19;10;17;4;9;36;25.0;27;256;79;30.9;48;132;76;23;2;0;21;12;43;11;0;Matches
1189;Dennis Jastrzembski\Dennis-Jastrzembski;pl POL;DFMF;Paderborn 07;de Bundesliga;19;2000;2.0;3;2;2;0;1;0;3;0.0;3;39;11;28.2;8;19;12;8;0;0;8;1;4;0;0;Matches
1190;Corentin Jean\Corentin-Jean;fr FRA;DF;Toulouse;fr Ligue 1;24;1995;0.1;0;0;0;0;0;0;0;;0;3;0;0.0;1;0;2;0;0;0;0;0;0;1;0;Matches
1191;Benjamin Jeannot\Benjamin-Jeannot;fr FRA;MF;Dijon;fr Ligue 1;27;1992;1.9;1;1;1;0;0;0;5;0.0;5;41;8;19.5;4;18;19;1;0;0;1;4;5;4;0;Matches
1192;Tin Jedvaj\Tin-Jedvaj;hr CRO;DF;Augsburg;de Bundesliga;23;1995;29.3;47;29;28;18;1;23;57;40.4;34;302;86;28.5;182;106;14;67;19;1;48;25;72;181;1;Matches
1193;Jemerson\Jemerson;br BRA;DFMF;Monaco;fr Ligue 1;26;1992;11.7;30;14;13;15;2;7;20;35.0;13;170;57;33.5;78;85;7;11;5;0;6;11;41;39;1;Matches
1194;Fredrik Jensen\Fredrik-Jensen;fi FIN;FWMF;Augsburg;de Bundesliga;21;1997;5.1;1;1;1;0;0;0;4;0.0;4;162;32;19.8;15;87;60;9;1;0;8;1;2;3;0;Matches
1195;Jesé\Jese;es ESP;FW;Paris S-G;fr Ligue 1;26;1993;0.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
1196;Gabriel Jesus\Gabriel-Jesus;br BRA;FW;Manchester City;eng Premier League;22;1997;22.6;25;19;4;9;12;5;25;20.0;20;419;127;30.3;25;155;239;31;4;0;27;12;37;7;0;Matches
1197;Juan Jesus\Juan-Jesus;br BRA;DF;Roma;it Serie A;28;1991;1.5;4;2;3;1;0;0;3;0.0;3;22;11;50.0;17;5;0;4;0;0;4;1;5;3;0;Matches
1198;Raúl Jiménez\Raul-Jimenez;mx MEX;FW;Wolves;eng Premier League;28;1991;36.0;29;23;7;15;7;2;26;7.7;24;588;141;24.0;33;293;262;32;4;0;28;16;45;31;0;Matches
1199;Joaquín\Joaquin;es ESP;MFFW;Betis;es La Liga;38;1981;22.9;17;11;5;9;3;4;13;30.8;9;221;59;26.7;56;110;55;36;3;0;33;16;33;19;0;Matches
1200;Joelinton\Joelinton;br BRA;FW;Newcastle Utd;eng Premier League;22;1996;29.8;30;19;5;17;8;11;35;31.4;24;595;135;22.7;73;312;210;33;7;1;26;11;41;28;0;Matches
1201;Ben Johnson\Ben-Johnson;eng ENG;DF;West Ham;eng Premier League;19;2000;3.0;8;4;5;2;1;4;6;66.7;2;36;6;16.7;19;10;7;8;3;0;5;4;12;16;0;Matches
1202;Fabian Johnson\Fabian-Johnson;us USA;MFDF;M'Gladbach;de Bundesliga;31;1987;3.0;4;3;0;2;2;2;4;50.0;2;63;20;31.7;13;32;18;5;0;0;5;0;4;1;0;Matches
1203;Curtis Jones\Curtis-Jones;eng ENG;MF;Liverpool;eng Premier League;18;2001;1.4;3;2;0;1;2;2;3;66.7;1;27;7;25.9;5;8;14;3;0;0;3;3;6;1;0;Matches
1204;Phil Jones\Phil-Jones;eng ENG;DF;Manchester Utd;eng Premier League;27;1992;1.5;4;2;2;2;0;2;2;100.0;0;18;9;50.0;12;5;1;1;0;0;1;2;6;19;1;Matches
1205;Frenkie de Jong\Frenkie-de-Jong;nl NED;MF;Barcelona;es La Liga;22;1997;23.5;30;22;10;13;7;5;19;26.3;14;313;97;31.0;76;149;88;24;7;0;17;15;45;17;0;Matches
1206;Luuk de Jong\Luuk-de-Jong;nl NED;FW;Sevilla;es La Liga;28;1990;22.9;18;10;2;11;5;4;15;26.7;11;359;107;29.8;16;174;169;14;2;0;12;5;23;23;0;Matches
1207;Jony\Jony;es ESP;DF;Lazio;it Serie A;28;1991;13.1;17;11;10;3;4;6;27;22.2;21;177;49;27.7;72;49;56;26;2;0;24;12;29;14;0;Matches
1208;Joan Jordán\Joan-Jordan;es ESP;MF;Sevilla;es La Liga;25;1994;25.0;60;47;23;32;5;24;77;31.2;53;494;139;28.1;129;276;89;39;5;0;34;20;80;33;2;Matches
1209;Bruno Jordão\Bruno-Jordao;pt POR;FW;Wolves;eng Premier League;20;1998;0.1;0;0;0;0;0;0;0;;0;0;0;;0;0;0;1;0;0;1;0;0;0;0;Matches
1210;Jorginho\Jorginho;it ITA;MF;Chelsea;eng Premier League;27;1991;26.4;69;44;22;37;10;27;85;31.8;58;554;162;29.2;190;296;68;41;5;1;36;42;111;34;0;Matches
1211;Jesse Joronen\Jesse-Joronen;fi FIN;GK;Brescia;it Serie A;26;1993;29.0;0;0;0;0;0;0;1;0.0;1;3;0;0.0;3;0;0;0;0;0;0;0;0;4;0;Matches
1212;Willian José\Willian-Jose;br BRA;FW;Real Sociedad;es La Liga;27;1991;22.3;3;3;0;3;0;0;7;0.0;7;188;66;35.1;6;70;112;16;6;0;10;1;4;14;0;Matches
1213;Joselu\Joselu;es ESP;FW;Alavés;es La Liga;29;1990;30.9;25;16;5;12;8;3;31;9.7;28;543;143;26.3;33;257;253;39;6;0;33;10;35;44;0;Matches
1214;Jota\Jota;es ESP;FWMF;Aston Villa;eng Premier League;28;1991;3.7;3;2;1;1;1;2;9;22.2;7;119;17;14.3;44;51;24;3;0;0;3;2;5;6;0;Matches
1215;Diogo Jota\Diogo-Jota;pt POR;FWMF;Wolves;eng Premier League;22;1996;25.4;34;21;13;18;3;12;44;27.3;32;572;127;22.2;125;293;154;17;0;0;17;6;40;9;0;Matches
1216;Vukašin Jovanovi?\Vukasin-Jovanovic;rs SRB;DF;Bordeaux;fr Ligue 1;23;1996;6.4;24;10;14;10;0;12;20;60.0;8;67;25;37.3;43;24;0;10;4;0;6;8;32;25;0;Matches
1217;Dejan Jovelji?\Dejan-Joveljic;rs SRB;FW;Eint Frankfurt;de Bundesliga;19;1999;1.7;3;3;1;1;1;0;3;0.0;3;44;11;25.0;3;19;22;0;0;0;0;0;3;1;0;Matches
1218;Stevan Joveti?\Stevan-Jovetic;me MNE;FWMF;Monaco;fr Ligue 1;29;1989;5.3;1;1;0;1;0;0;6;0.0;6;71;17;23.9;14;31;26;5;1;0;4;1;2;3;0;Matches
1219;Luka Jovi?\Luka-Jovic;rs SRB;FW;Real Madrid;es La Liga;21;1997;4.8;3;2;0;2;1;0;0;;0;69;20;29.0;4;30;35;2;0;0;2;4;7;0;0;Matches
1220;Juanmi\Juanmi;es ESP;FWMF;Betis;es La Liga;26;1993;2.9;5;4;1;3;1;1;3;33.3;2;49;13;26.5;7;34;8;2;0;0;2;0;5;2;0;Matches
1221;David Juncà\David-Junca;es ESP;DF;Celta Vigo;es La Liga;25;1993;2.9;4;3;2;2;0;2;2;100.0;0;32;8;25.0;12;14;6;3;1;0;2;0;4;7;0;Matches
1222;Hamed Junior Traorè\Hamed-Junior-Traore;ci CIV;MFFW;Sassuolo;it Serie A;19;2000;17.4;32;14;12;13;7;7;30;23.3;23;294;74;25.2;58;138;98;25;2;0;23;10;42;8;0;Matches
1223;Lago Junior\Lago-Junior;ci CIV;MFFW;Mallorca;es La Liga;28;1990;24.3;33;19;15;10;8;11;31;35.5;20;399;94;23.6;108;179;112;37;5;0;32;13;46;19;0;Matches
1224;Vinicius Júnior\Vinicius-Junior;br BRA;FWMF;Real Madrid;es La Liga;19;2000;15.2;27;17;11;12;4;5;26;19.2;21;299;88;29.4;76;137;86;19;0;0;19;3;30;0;0;Matches
1225;James Justin\James-Justin;eng ENG;DF;Leicester City;eng Premier League;21;1998;11.2;36;20;22;13;1;13;23;56.5;10;159;58;36.5;76;59;24;25;7;0;18;8;44;31;0;Matches
1226;Musa Juwara\Musa-Juwara;gm GAM;FWMF;Bologna;it Serie A;17;2001;1.7;3;0;1;1;1;1;2;50.0;1;34;7;20.6;12;15;7;2;1;0;1;1;4;1;0;Matches
1227;Mathias Jørgensen\Mathias-Jorgensen;dk DEN;DF;Düsseldorf;de Bundesliga;29;1990;5.5;8;5;5;3;0;4;6;66.7;2;38;14;36.8;25;13;0;12;6;0;6;7;15;29;1;Matches
1228;Ozan Kabak\Ozan-Kabak;tr TUR;DF;Schalke 04;de Bundesliga;19;2000;19.7;56;36;42;14;0;18;32;56.3;14;218;80;36.7;151;63;4;46;21;0;25;27;83;135;0;Matches
1229;Christian Kabasele\Christian-Kabasele;be BEL;DF;Watford;eng Premier League;28;1991;25.0;40;24;32;8;0;16;36;44.4;20;247;85;34.4;141;88;18;55;28;0;27;24;64;171;2;Matches
1230;Abdoul Kader Bamba\Abdoul-Kader-Bamba;fr FRA;FWMF;Nantes;fr Ligue 1;25;1994;16.3;28;17;8;12;8;15;39;38.5;24;306;85;27.8;80;141;85;24;2;1;22;20;48;5;0;Matches
1231;Pavel Kade?ábek\Pavel-Kaderabek;cz CZE;DFMF;Hoffenheim;de Bundesliga;27;1992;27.5;31;21;16;15;0;10;30;33.3;20;284;86;30.3;107;118;59;62;8;2;54;20;51;56;0;Matches
1232;Florian Kainz\Florian-Kainz;at AUT;FWMF;Köln;de Bundesliga;26;1992;17.3;21;10;13;4;4;8;26;30.8;18;290;67;23.1;89;134;67;29;2;0;27;6;27;16;0;Matches
1233;Gaël Kakuta\Gael-Kakuta;cd COD;MFFW;Amiens;fr Ligue 1;28;1991;22.2;44;31;11;29;4;15;46;32.6;31;552;153;27.7;91;317;144;18;1;0;17;16;60;8;0;Matches
1234;Lovre Kalini?\Lovre-Kalinic;hr CRO;GK;Toulouse;fr Ligue 1;29;1990;3.4;0;0;0;0;0;0;1;0.0;1;1;0;0.0;1;0;0;0;0;0;0;0;0;0;0;Matches
1235;Nikola Kalini?\Nikola-Kalinic;hr CRO;FW;Roma;it Serie A;31;1988;6.3;0;0;0;0;0;0;0;;0;52;17;32.7;2;18;32;3;0;0;3;2;2;1;0;Matches
1236;Salomon Kalou\Salomon-Kalou;ci CIV;FWMF;Hertha BSC;de Bundesliga;33;1985;1.6;3;3;1;1;1;0;3;0.0;3;33;10;30.3;4;10;19;4;0;0;4;1;4;2;1;Matches
1237;Samuel Kalu\Samuel-Kalu;ng NGA;FWDF;Bordeaux;fr Ligue 1;21;1997;15.1;43;19;19;19;5;12;34;35.3;22;304;81;26.6;83;151;70;21;1;0;20;19;62;10;2;Matches
1238;Daichi Kamada\Daichi-Kamada;jp JPN;MFFW;Eint Frankfurt;de Bundesliga;22;1996;21.9;29;21;8;17;4;5;35;14.3;30;457;133;29.1;64;190;203;18;1;0;17;9;38;8;0;Matches
1239;François Kamano\Francois-Kamano;gn GUI;DFMF;Bordeaux;fr Ligue 1;23;1996;7.2;14;8;6;4;4;6;14;42.9;8;149;44;29.5;51;71;27;8;0;0;8;5;19;6;0;Matches
1240;Boubacar Kamara\Boubacar-Kamara;fr FRA;DFMF;Marseille;fr Ligue 1;19;1999;23.8;76;53;38;35;3;28;69;40.6;41;355;127;35.8;146;194;15;41;15;0;26;15;91;95;0;Matches
1241;Hassane Kamara\Hassane-Kamara;gm GAM;DFFW;Reims;fr Ligue 1;24;1994;19.0;66;31;47;15;4;28;50;56.0;22;313;97;31.0;172;94;47;40;3;0;37;30;96;64;0;Matches
1242;Kevin Kampl\Kevin-Kampl;si SVN;MF;RB Leipzig;de Bundesliga;28;1990;7.5;19;14;8;8;3;9;22;40.9;13;151;46;30.5;49;72;30;11;2;0;9;12;31;3;1;Matches
1243;Harry Kane\Harry-Kane;eng ENG;FW;Tottenham;eng Premier League;26;1993;28.7;20;14;5;13;2;6;19;31.6;13;448;100;22.3;23;219;206;31;12;0;19;4;24;30;0;Matches
1244;Wilfried Kanga\Wilfried-Kanga;fr FRA;FW;Angers;fr Ligue 1;21;1998;0.8;0;0;0;0;0;0;1;0.0;1;19;2;10.5;0;12;7;0;0;0;0;0;0;0;0;Matches
1245;Lee Kangin\Lee-Kangin;kr KOR;MFFW;Valencia;es La Liga;18;2001;5.0;3;2;1;1;1;0;5;0.0;5;113;28;24.8;13;67;33;3;0;0;3;0;3;1;0;Matches
1246;N'Golo Kanté\NGolo-Kante;fr FRA;MF;Chelsea;eng Premier League;28;1991;19.2;58;43;30;21;7;12;33;36.4;21;438;141;32.2;153;191;94;43;3;0;40;28;86;35;0;Matches
1247;Stefanos Kapino\Stefanos-Kapino;gr GRE;GK;Werder Bremen;de Bundesliga;25;1994;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;Matches
1248;Wilfrid Kaptoum\Wilfrid-Kaptoum;cm CMR;MF;Betis;es La Liga;23;1996;2.2;6;5;3;2;1;2;2;100.0;0;43;18;41.9;15;21;7;3;1;0;2;3;9;6;0;Matches
1249;Kenan Karaman\Kenan-Karaman;tr TUR;FW;Düsseldorf;de Bundesliga;25;1994;15.0;8;4;2;3;3;7;12;58.3;5;215;60;27.9;20;110;85;12;5;0;7;2;10;9;0;Matches
1250;Yann Karamoh\Yann-Karamoh;fr FRA;FWMF;Parma;it Serie A;21;1998;6.4;8;5;3;4;1;3;10;30.0;7;137;35;25.5;24;72;41;8;0;0;8;2;10;4;0;Matches
1251;Mamoudou Karamoko\Mamoudou-Karamoko;fr FRA;MF;Wolfsburg;de Bundesliga;20;1999;0.1;0;0;0;0;0;0;0;;0;2;0;0.0;0;2;0;0;0;0;0;0;0;0;0;Matches
1252;Florian Kastenmeier\Florian-Kastenmeier;de GER;GK;Düsseldorf;de Bundesliga;22;1997;17.0;0;0;0;0;0;0;0;;0;7;0;0.0;7;0;0;1;0;0;1;0;0;1;1;Matches
1253;Noah Katterbach\Noah-Katterbach;de GER;DF;Köln;de Bundesliga;18;2001;14.6;33;20;25;7;1;9;30;30.0;21;206;67;32.5;120;65;21;23;1;0;22;22;55;40;0;Matches
1254;Moise Kean\Moise-Kean;it ITA;FW;Everton;eng Premier League;19;2000;9.5;7;6;2;2;3;0;3;0.0;3;119;36;30.3;12;50;57;4;1;0;3;6;13;3;0;Matches
1255;Michael Keane\Michael-Keane;eng ENG;DF;Everton;eng Premier League;26;1993;28.4;41;26;26;14;1;15;27;55.6;12;190;66;34.7;123;62;5;52;27;0;25;24;65;208;1;Matches
1256;Thilo Kehrer\Thilo-Kehrer;de GER;DF;Paris S-G;fr Ligue 1;22;1996;5.3;10;6;4;3;3;3;9;33.3;6;53;16;30.2;19;23;11;3;1;0;2;2;12;5;0;Matches
1257;Jules Keita\Jules-Keita;gn GUI;MFFW;Dijon;fr Ligue 1;21;1998;1.8;2;1;1;0;1;0;4;0.0;4;26;3;11.5;5;17;4;0;0;0;0;2;4;1;0;Matches
1258;Naby Keïta\Naby-Keita;gn GUI;MF;Liverpool;eng Premier League;24;1995;9.1;27;20;8;13;6;9;25;36.0;16;213;78;36.6;41;99;73;19;0;0;19;14;41;4;0;Matches
1259;Yannik Keitel\Yannik-Keitel;de GER;MF;Freiburg;de Bundesliga;19;2000;1.9;2;1;1;1;0;0;2;0.0;2;41;7;17.1;14;20;7;4;1;0;3;4;6;4;0;Matches
1260;Lloyd Kelly\Lloyd-Kelly;eng ENG;DF;Bournemouth;eng Premier League;20;1998;7.1;9;6;5;4;0;5;9;55.6;4;73;29;39.7;39;27;7;11;6;0;5;4;13;17;1;Matches
1261;Martin Kelly\Martin-Kelly;eng ENG;DF;Crystal Palace;eng Premier League;29;1990;17.2;24;18;18;6;0;12;29;41.4;17;181;63;34.8;129;42;10;50;15;0;35;10;34;102;3;Matches
1262;Kenedy\Kenedy;br BRA;MFDF;Getafe;es La Liga;23;1996;6.5;11;8;2;5;4;2;3;66.7;1;111;30;27.0;20;62;29;9;1;0;8;11;22;7;0;Matches
1263;Jonjoe Kenny\Jonjoe-Kenny;eng ENG;DF;Schalke 04;de Bundesliga;22;1997;30.2;59;39;25;30;4;21;53;39.6;32;406;131;32.3;183;165;58;57;11;1;46;28;87;92;1;Matches
1264;Franck Kessié\Franck-Kessie;ci CIV;MF;Milan;it Serie A;22;1996;32.3;52;33;24;19;9;14;52;26.9;38;589;163;27.7;171;302;116;54;6;0;48;18;70;41;1;Matches
1265;Saîf-Eddine Khaoui\Saif-Eddine-Khaoui;tn TUN;MFFW;Marseille;fr Ligue 1;24;1995;1.2;3;1;0;3;0;2;4;50.0;2;27;7;25.9;6;16;5;2;0;0;2;1;4;3;0;Matches
1266;Wahbi Khazri\Wahbi-Khazri;tn TUN;FWMF;Saint-Étienne;fr Ligue 1;28;1991;12.8;18;11;5;4;9;4;23;17.4;19;250;63;25.2;16;125;109;13;0;0;13;4;22;1;0;Matches
1267;Rani Khedira\Rani-Khedira;de GER;MF;Augsburg;de Bundesliga;25;1994;29.4;61;35;18;33;10;17;57;29.8;40;582;140;24.1;173;330;79;53;14;0;39;36;97;69;0;Matches
1268;Sami Khedira\Sami-Khedira;de GER;MF;Juventus;it Serie A;32;1987;7.6;17;13;3;8;6;3;18;16.7;15;131;44;33.6;25;75;31;20;2;0;18;4;21;11;0;Matches
1269;Kike\Kike;es ESP;FW;Eibar;es La Liga;29;1989;19.6;11;6;1;4;6;4;12;33.3;8;323;97;30.0;20;113;190;17;2;0;15;2;13;7;0;Matches
1270;Luca Kilian\Luca-Kilian;de GER;DF;Paderborn 07;de Bundesliga;19;1999;14.0;38;25;32;6;0;25;46;54.3;21;170;61;35.9;121;39;10;35;13;0;22;8;46;82;0;Matches
1271;Max Kilman\Max-Kilman;eng ENG;DF;Wolves;eng Premier League;22;1997;2.1;4;3;3;1;0;2;4;50.0;2;17;5;29.4;11;5;1;2;1;0;1;3;7;17;0;Matches
1272;Joshua Kimmich\Joshua-Kimmich;de GER;MFDF;Bayern Munich;de Bundesliga;24;1995;31.3;63;40;27;22;14;19;69;27.5;50;511;174;34.1;134;278;99;58;7;0;51;21;84;47;0;Matches
1273;Presnel Kimpembe\Presnel-Kimpembe;fr FRA;DF;Paris S-G;fr Ligue 1;23;1995;13.6;41;25;31;10;0;18;28;64.3;10;124;49;39.5;62;57;5;14;5;0;9;18;59;36;1;Matches
1274;Joshua King\Joshua-King;no NOR;FWMF;Bournemouth;eng Premier League;27;1992;22.3;19;15;8;7;4;2;15;13.3;13;496;123;24.8;81;221;194;27;4;0;23;5;24;11;0;Matches
1275;Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos;gr GRE;DF;Sassuolo;it Serie A;23;1996;18.3;41;27;27;7;7;21;40;52.5;19;271;84;31.0;125;101;45;30;5;0;25;8;49;37;0;Matches
1276;Simon Kjær\Simon-Kjaer;dk DEN;DF;Atalanta;it Serie A;30;1989;3.2;4;3;1;3;0;3;7;42.9;4;49;14;28.6;20;29;0;11;4;0;7;6;10;19;1;Matches
1277;Simon Kjær\Simon-Kjaer;dk DEN;DF;Milan;it Serie A;30;1989;13.8;25;14;19;6;0;11;21;52.4;10;123;43;35.0;66;55;2;28;18;0;10;11;36;68;1;Matches
1278;Davy Klaassen\Davy-Klaassen;nl NED;MF;Werder Bremen;de Bundesliga;26;1993;32.6;67;48;22;35;10;20;57;35.1;37;590;161;27.3;173;281;136;69;18;0;51;27;94;54;1;Matches
1279;Felix Klaus\Felix-Klaus;de GER;FWMF;Wolfsburg;de Bundesliga;26;1992;7.4;23;13;4;14;5;9;22;40.9;13;226;69;30.5;31;128;67;11;3;0;8;2;25;3;0;Matches
1280;Ragnar Klavan\Ragnar-Klavan;ee EST;DF;Cagliari;it Serie A;33;1985;26.2;37;26;27;10;0;21;41;51.2;20;241;90;37.3;150;86;5;43;25;0;18;16;53;146;1;Matches
1281;Timm Klose\Timm-Klose;ch SUI;DF;Norwich City;eng Premier League;31;1988;6.5;9;4;4;5;0;5;11;45.5;6;53;24;45.3;36;17;0;11;6;0;5;2;11;30;2;Matches
1282;Lukas Klostermann\Lukas-Klostermann;de GER;DF;RB Leipzig;de Bundesliga;23;1996;29.4;48;26;25;20;3;17;41;41.5;24;343;130;37.9;175;131;37;66;17;0;49;21;69;116;3;Matches
1283;Justin Kluivert\Justin-Kluivert;nl NED;FW;Roma;it Serie A;20;1999;16.8;19;12;5;9;5;7;22;31.8;15;259;69;26.6;60;120;79;26;0;0;26;6;25;6;0;Matches
1284;Lukas Klünter\Lukas-Klunter;de GER;DF;Hertha BSC;de Bundesliga;23;1996;20.9;48;23;34;13;1;16;30;53.3;14;282;89;31.6;142;99;41;39;4;0;35;17;65;86;1;Matches
1285;Robin Knoche\Robin-Knoche;de GER;DF;Wolfsburg;de Bundesliga;27;1992;17.7;40;25;32;8;0;20;40;50.0;20;190;74;38.9;118;61;11;40;13;0;27;25;65;117;2;Matches
1286;Robin Koch\Robin-Koch;de GER;DFMF;Freiburg;de Bundesliga;23;1996;30.1;41;24;24;16;1;8;25;32.0;17;270;77;28.5;145;106;19;43;21;0;22;18;59;155;3;Matches
1287;Giorgi Kochorashvili\Giorgi-Kochorashvili;ge GEO;MF;Levante;es La Liga;20;1999;0.0;0;0;0;0;0;0;0;;0;1;1;100.0;0;0;1;0;0;0;0;0;0;0;0;Matches
1288;Jonathan Kodjia\Jonathan-Kodjia;ci CIV;FWMF;Aston Villa;eng Premier League;29;1989;1.3;0;0;0;0;0;0;1;0.0;1;33;9;27.3;6;15;12;2;2;0;0;0;0;2;0;Matches
1289;Kenan Kodro\Kenan-Kodro;ba BIH;FWMF;Athletic Club;es La Liga;25;1993;4.0;1;0;0;1;0;1;2;50.0;1;88;18;20.5;7;40;41;2;0;0;2;1;2;3;0;Matches
1290;Dominik Kohr\Dominik-Kohr;de GER;MF;Eint Frankfurt;de Bundesliga;25;1994;16.1;58;39;23;31;4;18;52;34.6;34;357;125;35.0;101;193;63;47;13;0;34;18;76;19;0;Matches
1291;Koke\Koke;es ESP;MF;Atlético Madrid;es La Liga;27;1992;30.0;79;54;31;34;14;35;94;37.2;59;484;137;28.3;153;236;95;51;9;0;42;22;101;31;1;Matches
1292;Aleksandar Kolarov\Aleksandar-Kolarov;rs SRB;DF;Roma;it Serie A;33;1985;30.4;41;25;24;12;5;20;43;46.5;23;262;112;42.7;100;115;47;36;10;0;26;18;59;71;1;Matches
1293;Sead Kolašinac\Sead-Kolasinac;ba BIH;DF;Arsenal;eng Premier League;26;1993;18.9;35;18;22;6;7;12;25;48.0;13;230;67;29.1;116;81;33;23;5;0;18;15;50;45;1;Matches
1294;Timothée Kolodziejczak\Timothee-Kolodziejczak;fr FRA;DF;Saint-Étienne;fr Ligue 1;27;1991;14.5;17;12;12;5;0;9;26;34.6;17;158;49;31.0;77;75;6;26;4;0;22;24;41;60;1;Matches
1295;Ghislain Konan\Ghislain-Konan;ci CIV;DF;Reims;fr Ligue 1;23;1995;14.8;41;25;21;17;3;18;37;48.6;19;184;58;31.5;102;56;26;22;2;0;20;26;67;59;0;Matches
1296;Ibrahima Konaté\Ibrahima-Konate;fr FRA;DF;RB Leipzig;de Bundesliga;20;1999;6.3;13;7;10;2;1;2;9;22.2;7;56;17;30.4;36;16;4;9;3;0;6;5;18;43;1;Matches
1297;Moussa Konaté\Moussa-Konate;sn SEN;FW;Amiens;fr Ligue 1;26;1993;6.8;5;4;1;4;0;1;6;16.7;5;139;28;20.1;13;76;50;4;2;0;2;0;5;1;0;Matches
1298;Geoffrey Kondogbia\Geoffrey-Kondogbia;cf CTA;MF;Valencia;es La Liga;26;1993;20.1;66;47;37;22;7;19;51;37.3;32;460;131;28.5;207;208;45;41;10;0;31;24;90;59;0;Matches
1299;Kouadio Koné\Kouadio-Kone;fr FRA;MF;Toulouse;fr Ligue 1;18;2001;9.7;33;25;14;15;4;13;36;36.1;23;299;89;29.8;97;175;27;19;1;0;18;20;53;13;0;Matches
1300;Lamine Koné\Lamine-Kone;ci CIV;DF;Strasbourg;fr Ligue 1;30;1989;16.4;32;20;20;10;2;11;21;52.4;10;156;46;29.5;95;55;6;21;7;0;14;20;52;56;1;Matches
1301;Moussa Koné\Moussa-Kone;sn SEN;FW;Nîmes;fr Ligue 1;22;1996;1.6;2;2;2;0;0;1;4;25.0;3;24;3;12.5;4;15;5;2;1;0;1;1;3;0;0;Matches
1302;Youssouf Koné\Youssouf-Kone;ml MLI;DF;Lyon;fr Ligue 1;24;1995;9.1;24;15;18;5;1;11;20;55.0;9;81;23;28.4;57;17;7;8;1;0;7;6;30;22;0;Matches
1303;Ezri Konsa\Ezri-Konsa;eng ENG;DF;Aston Villa;eng Premier League;21;1997;22.7;27;18;20;7;0;6;16;37.5;10;193;63;32.6;107;65;21;55;23;0;32;14;41;83;3;Matches
