;;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
11;Che Adams\Che-Adams;eng ENG;FW;Southampton;eng Premier League;23;1996;12.3;441;10;35;204;235;68;433;15;27;55.6;15;1;308;1841;847;657;315;47.9;44;29;Matches
12;Tyler Adams\Tyler-Adams;us USA;DFMF;RB Leipzig;de Bundesliga;20;1999;10.6;813;20;206;453;196;13;737;6;11;54.5;6;0;501;2484;1118;602;554;92.0;9;13;Matches
13;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;de Bundesliga;26;1993;8.3;309;7;29;134;164;46;297;11;24;45.8;13;0;206;1591;834;404;212;52.5;25;20;Matches
14;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;es La Liga;32;1987;0.3;7;4;6;1;0;0;6;0;0;;0;0;2;5;5;1;1;100.0;0;0;Matches
15;Bobby Adekanye\Bobby-Adekanye;nl NED;FW;Lazio;it Serie A;20;1999;2.1;70;0;9;35;30;13;68;4;4;100.0;4;0;54;410;241;82;50;61.0;5;4;Matches
16;Claud Adjapong\Claud-Adjapong;it ITA;DF;Hellas Verona;it Serie A;21;1998;2.6;112;14;35;52;37;7;98;1;3;33.3;2;0;66;440;214;76;63;82.9;5;1;Matches
17;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;fr Ligue 1;19;2000;0.5;33;0;3;20;14;1;28;3;4;75.0;3;0;25;259;144;26;23;88.5;3;1;Matches
18;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;fr Ligue 1;19;2000;11.3;735;13;73;512;210;13;695;24;42;57.1;28;3;554;3296;1986;612;549;89.7;27;32;Matches
19;Adrián\Adrian;es ESP;GK;Liverpool;eng Premier League;32;1987;9.7;338;301;338;0;0;0;244;0;0;;0;0;163;641;355;155;154;99.4;0;0;Matches
20;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Club;es La Liga;38;1981;2.3;82;2;7;39;39;11;81;2;2;100.0;2;0;33;147;46;117;64;54.7;4;2;Matches
21;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;es La Liga;22;1996;20.1;1182;82;387;537;333;14;964;26;45;57.8;30;0;701;4849;2641;665;599;90.1;22;18;Matches
22;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;es La Liga;23;1996;23.3;1231;83;395;675;223;9;986;14;26;53.8;16;3;636;3313;1909;677;608;89.8;20;17;Matches
23;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;it Serie A;17;2002;0.8;48;1;12;25;12;0;48;0;0;;0;0;32;145;49;31;29;93.5;0;2;Matches
24;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Fiorentina;it Serie A;20;1998;0.7;47;0;9;22;20;2;47;2;2;100.0;2;0;33;269;167;40;32;80.0;0;2;Matches
25;Kevin Agudelo\Kevin-Agudelo;co COL;MFFW;Genoa;it Serie A;20;1998;7.4;402;6;82;217;147;20;396;21;33;63.6;23;0;326;2597;1639;348;285;81.9;12;13;Matches
26;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;fr Ligue 1;23;1996;10.6;717;92;445;294;15;7;700;1;2;50.0;1;0;453;2145;1080;477;469;98.3;3;5;Matches
27;Sergio Agüero\Sergio-Aguero;ar ARG;FW;Manchester City;eng Premier League;31;1988;16.1;572;2;21;210;383;154;551;27;45;60.0;28;2;428;2536;1404;780;450;57.7;24;41;Matches
28;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;fr Ligue 1;26;1993;11.9;926;35;225;465;292;22;816;15;26;57.7;17;0;624;3148;1858;649;601;92.6;8;15;Matches
29;Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu;gh GHA;MFFW;Hellas Verona;it Serie A;28;1990;2.6;129;9;32;85;26;1;128;0;1;0.0;0;0;95;634;267;116;90;77.6;4;3;Matches
30;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;fr Ligue 1;25;1994;7.0;409;15;87;277;70;12;405;10;13;76.9;12;0;277;1465;733;306;269;87.9;13;10;Matches
31;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;es La Liga;23;1995;27.8;1518;213;835;711;50;11;1475;11;15;73.3;12;0;962;5392;2312;954;934;97.9;5;8;Matches
32;Ola Aina\Ola-Aina;ng NGA;DF;Torino;it Serie A;22;1996;23.1;1476;76;431;728;432;34;1243;56;94;59.6;59;1;922;6764;4212;937;855;91.2;20;27;Matches
33;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;fr Ligue 1;23;1996;6.0;473;12;81;365;47;1;466;6;12;50.0;7;0;340;1357;678;369;349;94.6;7;6;Matches
34;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;DF;Angers;fr Ligue 1;18;2001;14.2;996;40;310;491;269;16;846;19;41;46.3;22;2;617;3810;2409;609;565;92.8;20;20;Matches
35;Albian Ajeti\Albian-Ajeti;ch SUI;MFFW;West Ham;eng Premier League;22;1997;1.5;33;0;1;9;24;9;32;0;0;;0;0;16;75;16;64;24;37.5;5;3;Matches
36;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;fr Ligue 1;25;1994;22.9;755;22;52;415;315;110;731;14;27;51.9;15;1;404;1900;874;977;580;59.4;73;23;Matches
37;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;de Bundesliga;24;1995;25.7;2161;235;1146;1087;82;15;2093;8;12;66.7;9;1;1589;9126;4667;1683;1657;98.5;10;6;Matches
38;Marley Aké\Marley-Ake;fr FRA;FWMF;Marseille;fr Ligue 1;18;2001;1.1;43;1;8;20;17;2;41;3;4;75.0;3;0;35;246;133;46;28;60.9;2;2;Matches
39;Nathan Aké\Nathan-Ake;nl NED;DF;Bournemouth;eng Premier League;24;1995;27.8;1508;277;923;595;86;34;1455;5;5;100.0;5;0;845;5259;2906;948;900;94.9;7;5;Matches
40;Chadrac Akolo\Chadrac-Akolo;cd COD;FWMF;Amiens;fr Ligue 1;24;1995;6.0;281;5;50;146;105;15;278;11;19;57.9;12;0;224;1065;607;256;196;76.6;6;14;Matches
41;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;de Bundesliga;24;1995;12.7;908;147;527;407;31;1;882;3;4;75.0;3;0;622;3094;1682;637;619;97.2;3;11;Matches
42;David Alaba\David-Alaba;at AUT;DF;Bayern Munich;de Bundesliga;27;1992;27.8;2662;194;1068;1590;248;14;2555;6;10;60.0;7;0;2026;13997;7669;2099;2068;98.5;9;4;Matches
43;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Nîmes;fr Ligue 1;21;1998;15.6;992;43;309;470;282;25;802;20;34;58.8;20;2;540;3248;2168;558;509;91.2;14;12;Matches
44;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;de Bundesliga;26;1992;13.0;466;6;26;221;246;89;436;16;21;76.2;17;1;284;1344;449;655;349;53.3;36;21;Matches
45;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;es La Liga;30;1989;24.3;2322;76;475;1119;831;65;2125;10;19;52.6;12;2;1617;6405;3327;1907;1762;92.4;10;7;Matches
46;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;it Serie A;26;1992;34.6;2663;21;334;1465;1196;109;2387;72;105;68.6;76;4;2076;16083;10758;2150;1943;90.4;49;62;Matches
47;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;es La Liga;33;1985;36.0;2261;403;1368;969;51;21;2209;3;3;100.0;3;0;1325;7874;4484;1509;1492;98.9;1;1;Matches
48;Marc Albrighton\Marc-Albrighton;eng ENG;MFDF;Leicester City;eng Premier League;29;1989;9.6;622;13;111;258;292;23;587;10;29;34.5;13;2;420;2560;1179;494;428;86.6;9;12;Matches
49;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;es La Liga;25;1993;10.3;316;9;28;149;148;46;291;4;8;50.0;4;1;171;782;415;389;221;56.8;17;7;Matches
50;Paco Alcácer\Paco-Alcacer;es ESP;FW;Dortmund;de Bundesliga;25;1993;5.9;167;2;8;73;89;31;150;4;7;57.1;5;1;85;253;112;231;116;50.2;13;8;Matches
51;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Bayern Munich;de Bundesliga;28;1991;19.7;2018;49;398;1386;350;26;1962;59;70;84.3;61;0;1536;7066;3397;1576;1515;96.1;13;20;Matches
52;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;es La Liga;28;1991;21.4;1330;77;349;890;170;15;1236;21;29;72.4;21;1;828;4731;2457;811;743;91.6;14;14;Matches
53;Toby Alderweireld\Toby-Alderweireld;be BEL;DF;Tottenham;eng Premier League;30;1989;32.9;2265;355;1227;1037;114;22;2185;0;2;0.0;0;0;1362;6529;3057;1535;1500;97.7;3;2;Matches
54;Haitam Aleesami\Haitam-Aleesami;no NOR;DF;Amiens;fr Ligue 1;28;1991;21.3;1436;84;442;758;319;20;1209;19;32;59.4;22;2;778;3835;1987;830;763;91.9;15;24;Matches
55;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;es La Liga;26;1992;1.2;49;0;2;27;22;4;49;1;2;50.0;1;0;21;166;80;68;40;58.8;5;2;Matches
56;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;es La Liga;21;1998;1.9;170;1;18;109;56;2;165;2;3;66.7;2;0;131;596;250;157;146;93.0;4;0;Matches
57;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;es La Liga;21;1998;8.2;471;5;64;312;134;11;467;15;23;65.2;15;0;397;2297;1174;436;380;87.2;5;10;Matches
58;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;fr Ligue 1;24;1995;10.0;351;310;351;0;0;0;246;1;1;100.0;1;0;162;549;279;146;145;99.3;0;1;Matches
59;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;eng Premier League;20;1998;35.3;3520;106;850;1641;1244;63;2865;26;56;46.4;30;4;2108;9338;5709;2363;2230;94.4;36;22;Matches
60;Enrico Alfonso\Enrico-Alfonso;it ITA;GK;Brescia;it Serie A;31;1988;3.1;85;69;85;0;0;0;48;0;0;;0;0;29;133;77;24;23;95.8;0;0;Matches
61;Rachid Alioui\Rachid-Alioui;ma MAR;FW;Angers;fr Ligue 1;27;1992;17.4;656;14;38;312;335;79;610;23;30;76.7;25;1;419;2189;1064;851;496;58.3;42;26;Matches
62;Alisson\Alisson;br BRA;GK;Liverpool;eng Premier League;26;1992;28.3;984;804;976;9;0;0;760;0;0;;0;0;549;2115;1090;494;490;99.2;1;0;Matches
63;Allan\Allan;br BRA;MF;Napoli;it Serie A;28;1991;14.2;994;23;197;615;250;17;966;18;29;62.1;20;3;741;3842;1820;781;728;93.2;14;18;Matches
64;Dele Alli\Dele-Alli;eng ENG;MFFW;Tottenham;eng Premier League;23;1996;20.5;1132;37;171;575;471;96;1076;32;63;50.8;36;7;747;4583;2502;1102;773;70.1;45;56;Matches
65;Miguel Almirón\Miguel-Almiron;py PAR;MFFW;Newcastle Utd;eng Premier League;25;1994;33.6;1309;44;315;554;601;91;1297;46;93;49.5;54;5;975;9230;5223;1281;894;69.8;60;54;Matches
66;Marcos Alonso\Marcos-Alonso;es ESP;DF;Chelsea;eng Premier League;28;1990;15.9;1313;30;326;564;510;72;1146;12;19;63.2;12;0;841;4756;2731;928;829;89.3;20;22;Matches
67;Mickaël Alphonse\Mickael-Alphonse;GPE;DF;Dijon;fr Ligue 1;30;1989;15.3;945;65;335;474;201;11;779;18;30;60.0;22;3;503;3110;1838;539;485;90.0;16;15;Matches
68;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;es La Liga;32;1986;2.0;55;51;55;0;0;0;33;0;0;;0;0;23;62;39;23;23;100.0;0;0;Matches
69;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;es La Liga;27;1992;12.7;569;29;142;381;73;7;560;6;9;66.7;6;0;296;1465;506;297;278;93.6;4;1;Matches
70;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Club;es La Liga;24;1995;31.2;1817;198;904;969;69;20;1754;11;13;84.6;11;1;992;6375;3552;1037;1021;98.5;3;10;Matches
71;Bruno Alves\Bruno-Alves;pt POR;DF;Parma;it Serie A;37;1981;29.7;1608;318;941;681;85;36;1510;2;3;66.7;2;0;875;5611;3055;1006;981;97.5;5;2;Matches
72;Steven Alzate\Steven-Alzate;co COL;MFDF;Brighton;eng Premier League;20;1998;13.2;838;31;216;406;272;44;787;33;50;66.0;35;4;618;3825;2141;638;557;87.3;20;28;Matches
73;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;DFMF;Norwich City;eng Premier League;26;1993;8.4;470;108;329;142;14;4;464;2;3;66.7;2;0;253;1006;478;297;289;97.3;1;1;Matches
74;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;MF;Leganés;es La Liga;26;1993;8.6;343;7;71;225;67;6;341;3;4;75.0;3;0;207;1037;489;250;217;86.8;5;5;Matches
75;Romain Amalfitano\Romain-Amalfitano;fr FRA;MF;Dijon;fr Ligue 1;29;1989;18.8;1092;36;289;732;168;8;1071;28;43;65.1;31;0;779;4929;2625;773;727;94.0;16;15;Matches
76;Amath\Amath;sn SEN;MF;Getafe;es La Liga;23;1996;0.7;36;0;2;17;20;4;34;4;8;50.0;4;0;28;212;136;32;20;62.5;3;5;Matches
77;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;fr Ligue 1;25;1994;24.0;1590;78;552;769;379;32;1379;28;56;50.0;32;0;876;5645;3378;945;865;91.5;27;24;Matches
78;Thierry Ambrose\Thierry-Ambrose;fr FRA;FW;Metz;fr Ligue 1;22;1997;6.1;312;4;30;138;174;34;310;24;45;53.3;27;1;256;2250;1510;304;229;75.3;20;25;Matches
79;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Toulouse;fr Ligue 1;21;1998;18.1;837;84;312;418;189;12;697;8;18;44.4;9;1;475;3751;2285;480;434;90.4;14;14;Matches
80;Nadiem Amiri\Nadiem-Amiri;de GER;MFFW;Leverkusen;de Bundesliga;22;1996;20.6;1374;15;187;769;526;57;1221;32;54;59.3;35;2;970;6045;3310;1130;933;82.6;29;32;Matches
81;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;de Bundesliga;18;2000;0.9;93;14;42;52;3;1;92;0;0;;0;0;69;369;237;69;69;100.0;0;0;Matches
82;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;de Bundesliga;23;1996;5.6;205;4;30;80;117;26;200;18;41;43.9;21;0;179;1284;866;234;142;60.7;23;14;Matches
83;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Hellas Verona;it Serie A;22;1996;32.4;2089;60;414;1445;468;25;2019;84;110;76.4;89;3;1623;13605;6456;1572;1454;92.5;53;50;Matches
84;Joachim Andersen\Joachim-Andersen;dk DEN;DF;Lyon;fr Ligue 1;23;1996;17.0;1476;211;839;714;47;13;1449;2;2;100.0;2;0;1043;5920;3476;1134;1123;99.0;2;1;Matches
85;Djavan Anderson\Djavan-Anderson;nl NED;DFMF;Lazio;it Serie A;24;1995;1.9;92;6;36;31;33;4;73;2;5;40.0;2;0;54;510;259;57;44;77.2;4;4;Matches
86;Felipe Anderson\Felipe-Anderson;br BRA;MFFW;West Ham;eng Premier League;26;1993;16.6;1163;26;166;616;515;66;1138;66;97;68.0;70;5;932;7364;4573;1042;889;85.3;33;35;Matches
87;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Union Berlin;de Bundesliga;28;1991;29.8;1211;46;98;584;575;135;1185;25;42;59.5;27;2;635;3673;1395;1710;932;54.5;106;78;Matches
88;Florin Andone\Florin-Andone;ro ROU;MFFW;Brighton;eng Premier League;26;1993;0.8;29;3;4;12;16;7;28;2;4;50.0;2;0;17;218;151;33;16;48.5;5;2;Matches
89;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;fr Ligue 1;28;1990;22.8;1515;55;287;1030;276;23;1499;23;27;85.2;25;0;951;5145;2235;1007;927;92.1;17;23;Matches
90;Lorenzo Andrenacci\Lorenzo-Andrenacci;it ITA;GK;Brescia;it Serie A;24;1995;5.9;185;175;185;0;0;0;101;0;0;;0;0;44;205;131;26;26;100.0;0;0;Matches
91;Robert Andrich\Robert-Andrich;de GER;MF;Union Berlin;de Bundesliga;24;1994;28.6;1547;61;371;923;333;33;1511;27;38;71.1;30;3;861;4851;2000;934;842;90.1;19;24;Matches
92;Victorien Angban\Victorien-Angban;ci CIV;MF;Metz;fr Ligue 1;22;1996;11.4;719;11;142;517;121;3;698;18;21;85.7;18;0;567;3461;1751;537;502;93.5;11;12;Matches
93;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;Leganés;es La Liga;29;1990;8.8;276;4;14;160;111;24;258;11;16;68.8;12;0;154;636;241;390;211;54.1;18;14;Matches
94;Miguel Ángel Moyá\Miguel-Angel-Moya;es ESP;GK;Real Sociedad;es La Liga;35;1984;13.0;490;419;489;3;0;0;357;2;2;100.0;2;0;245;1002;469;218;218;100.0;0;0;Matches
95;José Ángel\Jose-Angel;es ESP;DF;Eibar;es La Liga;29;1989;26.2;1754;97;443;942;486;11;1380;20;24;83.3;20;1;913;5389;2849;864;812;94.0;19;19;Matches
96;Angeliño\Angelino;es ESP;DF;RB Leipzig;de Bundesliga;22;1997;12.2;891;26;215;401;325;26;742;21;27;77.8;22;1;519;2682;1514;591;532;90.0;17;9;Matches
97;Angeliño\Angelino;es ESP;DF;Manchester City;eng Premier League;22;1997;4.7;477;16;99;199;214;10;429;5;8;62.5;5;2;321;1545;942;361;343;95.0;3;4;Matches
98;Faustino Anjorin\Faustino-Anjorin;eng ENG;FW;Chelsea;eng Premier League;17;2001;0.2;12;0;1;5;6;2;12;1;1;100.0;1;0;10;67;40;11;8;72.7;0;1;Matches
99;Peter Ankersen\Peter-Ankersen;dk DEN;DF;Genoa;it Serie A;28;1990;11.8;726;33;224;302;242;25;653;12;18;66.7;12;0;500;2245;1370;549;499;90.9;10;11;Matches
100;Cristian Ansaldi\Cristian-Ansaldi;ar ARG;DFMF;Torino;it Serie A;32;1986;19.6;1085;55;287;436;454;50;935;53;84;63.1;58;2;747;6071;3409;749;647;86.4;26;35;Matches
101;Janis Antiste\Janis-Antiste;fr FRA;MF;Toulouse;fr Ligue 1;16;2002;0.1;11;0;0;7;5;0;8;1;1;100.0;1;0;9;90;48;6;6;100.0;0;1;Matches
102;Michail Antonio\Michail-Antonio;eng ENG;FW;West Ham;eng Premier League;29;1990;19.6;850;12;47;305;556;125;810;71;107;66.4;74;3;601;4523;2700;1134;626;55.2;71;49;Matches
103;Antoñito\Antonito;es ESP;DFMF;Valladolid;es La Liga;31;1987;11.4;574;37;199;261;150;10;478;6;16;37.5;8;1;308;2088;1286;355;305;85.9;10;5;Matches
104;Mirko Antonucci\Mirko-Antonucci;it ITA;FWMF;Roma;it Serie A;20;1999;0.9;40;0;7;16;20;6;40;0;0;;0;0;22;159;109;29;21;72.4;5;0;Matches
105;Vitorino Antunes\Vitorino-Antunes;pt POR;MF;Getafe;es La Liga;32;1987;0.1;3;0;1;1;1;0;3;0;0;;0;0;1;11;11;2;2;100.0;1;0;Matches
106;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Paderborn 07;de Bundesliga;25;1994;27.4;1181;24;207;545;547;91;1044;36;80;45.0;41;3;803;7484;4372;1032;746;72.3;60;39;Matches
107;Anuar\Anuar;ma MAR;MFFW;Valladolid;es La Liga;24;1995;2.1;127;3;27;94;16;2;125;2;3;66.7;2;0;83;716;347;94;83;88.3;1;3;Matches
108;Houssem Aouar\Houssem-Aouar;fr FRA;MF;Lyon;fr Ligue 1;21;1998;21.7;1366;16;141;875;486;66;1325;65;104;62.5;72;5;1118;7662;4711;1291;1100;85.2;45;58;Matches
109;Adil Aouchiche\Adil-Aouchiche;fr FRA;MF;Paris S-G;fr Ligue 1;17;2002;0.7;40;0;7;23;12;1;40;3;3;100.0;3;0;28;133;49;36;29;80.6;4;0;Matches
110;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;fr Ligue 1;27;1992;17.8;1158;54;432;556;214;6;967;21;27;77.8;21;0;619;3117;1656;640;598;93.4;9;18;Matches
111;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;Getafe;es La Liga;23;1995;34.1;1363;54;241;851;349;26;1318;29;43;67.4;32;2;748;4738;1975;722;613;84.9;35;39;Matches
112;Guilherme Arana\Guilherme-Arana;br BRA;DF;Atalanta;it Serie A;22;1997;0.9;68;2;26;25;20;3;58;0;2;0.0;1;1;44;243;128;42;39;92.9;1;1;Matches
113;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;de Bundesliga;30;1989;23.5;1868;49;375;1297;290;22;1836;13;22;59.1;14;1;1242;5362;2410;1451;1350;93.0;19;21;Matches
114;Luiz Araújo\Luiz-Araujo;br BRA;FWMF;Lille;fr Ligue 1;23;1996;9.2;447;4;53;184;250;35;427;26;38;68.4;27;2;336;2535;1498;373;296;79.4;13;16;Matches
115;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;es La Liga;27;1991;32.1;1824;329;1081;816;51;20;1763;1;1;100.0;1;0;1065;7578;3729;1149;1133;98.6;6;4;Matches
116;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;es La Liga;20;1999;2.6;233;33;120;125;2;1;229;1;1;100.0;1;0;173;744;457;186;186;100.0;0;1;Matches
117;Anaitz Arbilla\Anaitz-Arbilla;es ESP;DF;Eibar;es La Liga;32;1987;22.3;1412;106;524;820;169;11;1266;4;6;66.7;4;0;751;5486;2419;740;714;96.5;8;10;Matches
118;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Real Madrid;es La Liga;26;1993;4.0;142;125;142;0;0;0;104;0;0;;0;0;77;342;190;62;62;100.0;0;1;Matches
119;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Paris S-G;fr Ligue 1;26;1993;3.0;60;45;59;1;0;0;48;0;0;;0;0;37;152;87;30;28;93.3;0;0;Matches
120;Santiago Arias\Santiago-Arias;co COL;DF;Atlético Madrid;es La Liga;27;1992;12.0;780;47;216;362;243;19;667;4;7;57.1;5;0;437;2106;1150;488;449;92.0;7;4;Matches
121;Nicolò Armini\Nicolo-Armini;it ITA;DF;Lazio;it Serie A;18;2001;0.0;4;1;3;1;0;0;4;0;0;;0;0;1;7;0;2;2;100.0;0;0;Matches
122;Stuart Armstrong\Stuart-Armstrong;sco SCO;MF;Southampton;eng Premier League;27;1992;19.1;882;48;167;412;368;49;863;31;53;58.5;33;2;593;4280;2315;732;560;76.5;37;29;Matches
123;José Arnaiz\Jose-Arnaiz;es ESP;FWMF;Osasuna;es La Liga;24;1995;8.8;304;4;26;145;146;37;291;3;8;37.5;3;0;198;1302;639;360;208;57.8;31;26;Matches
124;José Arnaiz\Jose-Arnaiz;es ESP;MFFW;Leganés;es La Liga;24;1995;3.7;169;4;19;69;97;17;164;13;23;56.5;14;0;148;1302;845;152;113;74.3;16;14;Matches
125;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;de Bundesliga;25;1994;31.3;1860;59;359;1108;495;24;1598;22;30;73.3;22;0;1065;5541;2847;1151;1057;91.8;22;28;Matches
126;Kepa Arrizabalaga\Kepa-Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;24;1994;33.0;1134;1003;1129;5;0;0;882;0;0;;0;0;681;2610;1487;646;646;100.0;0;0;Matches
127;Kwadwo Asamoah\Kwadwo-Asamoah;gh GHA;DF;Inter;it Serie A;30;1988;7.1;428;23;113;177;165;22;386;13;15;86.7;13;0;286;1483;1003;304;279;91.8;3;10;Matches
128;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;de Bundesliga;22;1997;7.0;402;24;137;242;49;0;383;7;10;70.0;7;0;209;1177;499;214;200;93.5;9;2;Matches
129;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;es La Liga;30;1989;34.0;1123;1024;1121;3;0;0;752;1;1;100.0;1;0;482;1959;967;447;446;99.8;0;0;Matches
130;Marco Asensio\Marco-Asensio;es ESP;FW;Real Madrid;es La Liga;23;1996;3.7;203;3;26;93;97;17;198;6;8;75.0;7;0;155;989;502;218;165;75.7;6;8;Matches
131;Kristoffer Askildsen\Kristoffer-Askildsen;no NOR;MF;Sampdoria;it Serie A;18;2001;0.8;43;1;13;29;6;0;43;2;3;66.7;2;0;31;234;188;38;32;84.2;1;1;Matches
