,Player,Nation,Age,Squad,Comp,Rk,Min,Gls,Ast,xG,npxG,xA,GCA,Def_GCA,Drib_GCA,Fld_GCA,OG_GCA,PassDead_GCA,PassLive_GCA,Sh_GCA,SCA,Def_SCA,Drib_SCA,Fld_SCA,PassDead_SCA,PassLive_SCA,Sh_SCA,Blocks,Press,Succ_Press,Tkl,TklW,Int,Tkl+Int,Clr,Att_Pass,Cmp_Pass,TotPrgDist_Pass,#Prog_Pass,TotPrgDist_Carried,TotDist_Carried,Oppon_Drib,Att_Drib,Recep,Att_Recep,Live_Touches,played_two_leagues
1425,Streli Mamba,GER,25,Paderborn 07,Bundesliga,1519,1521,5,2,4.6,4.6,1.3,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,26.0,2.0,4.0,4.0,0.0,15.0,1.0,15.0,446.0,105.0,15.0,11,6,21,8.0,276.0,212.0,459.0,9.0,1276.0,2297.0,18.0,29.0,299.0,574.0,433.0,False
1426,Hianga Mananga Mbock,FRA,19,Brest,Ligue 1,1520,141,1,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,26.0,12.0,0.0,0,2,2,8.0,82.0,73.0,248.0,3.0,217.0,461.0,2.0,2.0,65.0,70.0,105.0,False
1427,Vincent Manceau,FRA,30,Angers,Ligue 1,1521,1980,0,0,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,1.0,0.0,3.0,26.0,0.0,47.0,290.0,101.0,49.0,29,22,71,59.0,1317.0,1063.0,8476.0,111.0,2032.0,3858.0,6.0,14.0,919.0,971.0,1285.0,False
1428,Gianluca Mancini,ITA,23,Roma,Serie A,1522,2740,1,0,2.7,2.7,0.6,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,24.0,0.0,0.0,1.0,0.0,20.0,3.0,49.0,393.0,112.0,55.0,35,32,87,119.0,1679.0,1500.0,10073.0,97.0,4651.0,8183.0,10.0,14.0,1373.0,1410.0,1913.0,False
1429,Marco Mancosu,ITA,30,Lecce,Serie A,1523,2440,14,2,15.2,6.8,3.9,5.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,71.0,0.0,4.0,5.0,1.0,59.0,2.0,31.0,415.0,96.0,27.0,17,13,40,23.0,908.0,682.0,2764.0,69.0,3263.0,5237.0,28.0,42.0,863.0,1092.0,1160.0,False
1430,Steve Mandanda,FRA,34,Marseille,Ligue 1,1524,2370,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0,0,0,0.0,848.0,575.0,10728.0,0.0,1128.0,2266.0,1.0,2.0,413.0,416.0,687.0,False
1431,Reinildo Mandava,MOZ,25,Lille,Ligue 1,1525,1110,0,0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,12.0,0.0,27.0,210.0,68.0,48.0,32,13,61,32.0,656.0,523.0,2821.0,37.0,1352.0,2428.0,13.0,20.0,441.0,475.0,691.0,False
1432,Aissa Mandi,ALG,27,Betis,La Liga,1526,2576,0,0,1.2,1.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,46.0,175.0,54.0,33.0,16,24,57,144.0,1778.0,1626.0,11742.0,64.0,3212.0,6560.0,8.0,9.0,1451.0,1479.0,1951.0,False
1433,Rolando Mandragora,ITA,22,Udinese,Serie A,1527,2050,0,2,3.8,3.8,2.9,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,69.0,4.0,1.0,1.0,13.0,47.0,3.0,52.0,608.0,150.0,52.0,33,19,71,29.0,973.0,788.0,3960.0,80.0,1416.0,2820.0,14.0,30.0,782.0,905.0,1158.0,False
1434,Sadio Mane,SEN,27,Liverpool, Premier League,1528,2747,18,7,13.8,13.8,7.3,16.0,1.0,0.0,5.0,0.0,0.0,9.0,1.0,109.0,2.0,6.0,13.0,0.0,85.0,3.0,30.0,504.0,153.0,50.0,35,11,61,5.0,1162.0,933.0,3867.0,120.0,5436.0,9679.0,84.0,116.0,1275.0,1843.0,1572.0,False
1435,Eliaquim Mangala,FRA,28,Valencia,La Liga,1529,673,0,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,44.0,16.0,6.0,4,2,8,40.0,289.0,254.0,1507.0,8.0,325.0,914.0,0.0,1.0,225.0,229.0,347.0,False
1436,Thomas Mangani,FRA,32,Angers,Ligue 1,1530,1871,2,2,1.8,1.8,3.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,0.0,3.0,0.0,24.0,50.0,1.0,29.0,497.0,122.0,34.0,23,11,45,31.0,1366.0,1073.0,7316.0,135.0,2427.0,5050.0,24.0,28.0,1070.0,1161.0,1404.0,False
1437,Massimiliano Mangraviti,ITA,21,Brescia,Serie A,1531,972,0,0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,22.0,115.0,25.0,10.0,5,2,12,52.0,443.0,365.0,3765.0,38.0,1070.0,1830.0,0.0,0.0,309.0,319.0,479.0,False
1438,Kostas Manolas,GRE,28,Napoli,Serie A,1532,2176,4,0,1.7,1.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,34.0,158.0,53.0,34.0,17,15,49,104.0,1476.0,1369.0,7282.0,56.0,3726.0,6611.0,2.0,2.0,1209.0,1220.0,1630.0,False
1439,Javier Manquillo,ESP,25,Newcastle Utd, Premier League,1533,1599,0,1,0.1,0.1,0.4,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,1.0,1.0,12.0,0.0,35.0,220.0,71.0,47.0,32,13,60,60.0,632.0,452.0,2822.0,27.0,1352.0,2319.0,14.0,20.0,401.0,458.0,685.0,False
1440,Giacomo Manzari,ITA,18,Sassuolo,Serie A,1534,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0,0,0,0.0,7.0,4.0,19.0,0.0,25.0,29.0,1.0,1.0,5.0,8.0,8.0,False
1441,Myziane Maolida,FRA,20,Nice,Ligue 1,1535,675,1,2,2.0,2.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,1.0,3.0,2.0,0.0,20.0,2.0,13.0,140.0,36.0,15.0,11,5,20,2.0,317.0,257.0,1006.0,36.0,1840.0,2561.0,14.0,22.0,325.0,397.0,411.0,False
