Player;Nation;Age;Squad;Comp;played_two_leagues;#Prog_Pass;Ast;Att_Drib;Att_Pass;Att_Recep;Blocks;Clr;Cmp_Pass;Def_GCA;Def_SCA;Drib_GCA;Drib_SCA;Fld_GCA;Fld_SCA;GCA;Gls;Int;Live_Touches;Marktvalue;Min;npxG;OG_GCA;Oppon_Drib;PassDead_SCA;PassLive_GCA;PassLive_SCA;Press;Recep;Rk;SCA;Sh_SCA;Succ_Press;Tkl;Tkl+Int;TklW;TotDist_Carried;TotPrgDist_Carried;TotPrgDist_Pass;xA;xG;PassDead_GCA;Sh_GCA
Eric Garcia;ESP;18;Manchester City;Premier League;Falsch;40;0;7;705;645;8;46;672;0;0;0;0;0;0;0;0;10;778;6300000;793;0.5;0;7;0;0;3;74;637;918;3;0;20;12;22;4;2667;1459;3727;0.1;0.5;0;0
Rodri Tarin;ESP;23;Leganés;La Liga;Falsch;6;0;0;239;162;10;87;191;0;0;0;0;0;0;0;0;1;341;1200000;951;0.2;0;0;1;0;1;72;156;2448;2;0;25;11;12;7;807;409;1455;0;0.2;0;0
Tony Jantschke;GER;29;M'Gladbach;Bundesliga;Falsch;55;0;1;646;515;31;63;538;0;0;0;0;0;0;0;0;19;767;2400000;1012;0.5;0;1;0;0;12;129;506;1185;12;0;46;39;58;16;2590;1144;4543;0.9;0.5;0;0
Julian Chabot;GER;21;Sampdoria;Serie A;Falsch;13;0;4;238;173;8;40;205;0;0;0;0;0;0;0;1;14;302;3200000;569;0.1;0;4;0;0;1;67;170;486;1;0;21;14;28;10;865;307;1377;0;0.1;0;0
Iago Aspas;ESP;31;Celta Vigo;La Liga;Falsch;96;3;97;1283;1959;24;6;998;0;4;4;10;2;11;12;14;19;1585;16000000;3262;8.5;0;67;1;6;76;537;1317;132;107;5;146;29;48;21;8804;5009;3048;4.1;13.8;0;0
Donovan Leon;GUF;26;Brest;Ligue 1;Falsch;0;0;0;41;15;1;0;28;0;0;0;0;0;0;0;0;0;34;325000;123;0;0;0;1;0;0;3;15;1404;1;0;0;0;0;0;88;34;545;0;0;0;0
Alessandro Matri;ITA;34;Brescia;Serie A;Falsch;6;0;5;29;72;1;1;19;0;0;0;0;0;0;0;0;0;46;0;89;0.4;0;3;1;0;4;16;41;1591;5;0;0;0;0;0;83;17;181;0.3;0.4;0;0
Adrian Embarba;ESP;27;Espanyol;La Liga;Falsch;23;4;70;442;617;37;6;246;0;0;0;4;0;5;4;2;11;611;5500000;1371;2.1;0;40;5;4;17;322;414;772;33;2;95;28;39;18;3995;2464;1268;1.8;2.8;0;0
Tomas Soucek;CZE;24;West Ham;Premier League;Falsch;23;0;6;392;377;16;38;274;0;0;0;0;0;1;1;3;15;525;12000000;1040;2.2;0;2;0;1;7;240;291;2373;8;0;77;35;50;25;838;318;1163;0.5;2.2;0;0
Ousmane Dembele;FRA;22;Barcelona;La Liga;Falsch;18;0;31;261;307;4;0;201;0;0;1;5;0;1;2;1;0;286;56000000;357;1;0;17;2;1;10;58;257;651;18;0;10;0;0;0;1926;1228;761;0.6;1;0;0
