,user_account,text,created_at
98,rahatjotsodhi,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:35:33
99,AndreasKlamm,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:30:19
100,redgreenaction,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:29:55
101,SugarSauce7,"RT @MH4Future: join us for a week of action in March ! starting of with the global strike on the 19th of March !
#schoolstrike4climate 
and…",2021-03-14 05:28:32
102,meiklwagner,"RT @meiklwagner: Girls on Film - Duran Duran, 1981, EMI Records. On YouTube: https://t.co/kvdl1F5ARu #ForaFutureDancefloor💃🏻#Music #Berlin👑…",2021-03-14 05:26:04
103,MelisaCMN250,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:24:11
104,dcwjustme,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:22:36
105,hrafnsgaldr,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:21:58
106,shinrann05,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:21:01
107,Balelt41,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:17:58
108,weibo_66,"RT @Kl_Stone: @Marlhog1 @Luisamneubauer @David_Koebel AKW`s die Atommüll verbrennen, gibt es bis jetzt nur in bunten Propagandabroschüren u…",2021-03-14 05:17:28
109,RalphArmstrong1,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:17:22
110,CarolDannia,RT @MCMC_es: VIERNES MARZO 19 |⚡ #ClimateStrike #FridaysForFuture https://t.co/tRYOYKqEch,2021-03-14 05:02:02
111,Balelt41,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 04:58:01
112,livingroom2020,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 04:56:46
113,mike_ascencio,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:56:16
114,EMI_ny7hsc,RT @EMI_ny7hsc: 日本には空き家問題というものもあるけど、この空き家になってしまっている区画、放置すると防犯上もよくないし火災の原因にもなってしまうかも。ここを国とうまく連携してうまく活用して、再エネ発電所などできたらいいですね。山削るよりいいと思う。山削る必要っ…,2021-03-14 04:54:06
115,yvettetapptico,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:54:02
116,blakerspalding,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:50:17
117,yadavgita18,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:49:39
118,KellyTurberfie1,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:39:52
119,akiyamapzenkoku,RT @EMI_ny7hsc: 日本には空き家問題というものもあるけど、この空き家になってしまっている区画、放置すると防犯上もよくないし火災の原因にもなってしまうかも。ここを国とうまく連携してうまく活用して、再エネ発電所などできたらいいですね。山削るよりいいと思う。山削る必要っ…,2021-03-14 04:39:05
120,NaNi2350,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:31:52
121,AtusasireBless1,"RT @saoi4climate: #FridaysForFuture week 114 in Cork, Ireland. The climate crisis hasn’t gone anywhere and neither have we. #NoMoreEmptyPro…",2021-03-14 04:30:21
122,anabl18,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:29:24
123,AtusasireBless1,"RT @solo_syn_: School strike week 118.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.co/b…",2021-03-14 04:28:33
124,jJzI5rwHthcAat6,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:28:22
125,ArubaFaruque,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:27:34
126,Markkuhn11,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 04:22:08
127,meiklwagner,"RT @meiklwagner: Love Is Back - Celeste, Song 6 from Album „Not Your Muse“, 2021, Polydor Records.
On YouTube: https://t.co/OpyRtJLJ8y

#Va…",2021-03-14 04:22:06
