Player,Nation,Age,Squad,Comp,played_two_leagues,#Prog_Pass,Ast,Att_Drib,Att_Pass,Att_Recep,Blocks,Clr,Cmp_Pass,Def_GCA,Def_SCA,Drib_GCA,Drib_SCA,F1,Fld_GCA,Fld_SCA,GCA,Gls,Int,Live_Touches,Marktvalue,Min,npxG,OG_GCA,Oppon_Drib,PassDead,PassDead_SCA,PassLive_GCA,PassLive_SCA,Press,Recep,Rk,SCA,Sh_SCA,Sh_SCA.1,Succ_Press,Tkl,Tkl+Int,TklW,TotDist_Carried,TotPrgDist_Carried,TotPrgDist_Pass,xA,xG
Papa Ndiaga Yade,SEN,19,Metz,fr Ligue 1,False,0,0,0,3,6,0,0,0,0,0,0,0,1671,0,0,0,0,0,3,250000,4,0,0,0,0,0,0,0,1,2,1770,0,0,0,1,0,0,0,36,18,0,0,0
Steven Bergwijn,NED,21,Tottenham,eng Premier League,False,12,1,26,259,342,11,7,225,0,0,0,2,256,0,2,1,3,5,339,28000000,704,1.2,0,13,0,0,1,22,117,233,276,26,0,0,34,5,10,4,1852,1143,545,1,1.2
Marcel Schmelzer,GER,31,Dortmund,de Bundesliga,False,6,1,0,52,43,0,2,41,0,0,0,0,2128,0,0,1,1,1,53,1400000,66,0.6,0,0,0,0,1,2,13,37,2273,2,0,0,4,0,1,0,184,71,238,0.2,0.6
Opa Nguette,SEN,25,Metz,fr Ligue 1,False,28,2,144,544,857,22,8,430,0,2,3,18,1687,0,4,6,5,9,858,2800000,1826,3.7,0,95,0,0,3,29,417,613,1786,55,0,2,122,45,54,35,5536,3222,1380,1.5,3.7
Marcus Thuram,FRA,21,M'Gladbach,de Bundesliga,False,54,8,114,691,1311,28,22,473,0,1,4,14,2323,1,12,13,10,11,1063,22500000,2202,10.1,0,73,0,0,8,48,457,815,2484,77,0,2,105,24,35,18,6493,4167,1699,6.8,10.1
Pedro,BRA,22,Fiorentina,it Serie A,False,21,0,2,331,40,1,0,259,0,0,1,4,1808,0,2,4,0,0,29,12000000,63,0.4,0,0,0,1,2,23,12,23,1919,34,1,4,4,1,1,1,57,28,970,0,0.4
Marco Stiepermann,GER,28,Norwich City,eng Premier League,False,38,0,34,405,574,15,16,291,0,0,0,5,2249,0,0,2,0,3,534,3200000,1180,1.5,0,22,0,0,2,27,257,404,2402,33,0,1,53,18,21,7,2462,1445,1192,0.5,1.5
Bernardo Espinosa,COL,30,Espanyol,es La Liga,False,54,0,1,1060,745,31,174,826,0,0,0,0,723,0,0,0,3,12,1299,4800000,2259,1.7,0,1,0,0,0,8,172,701,788,8,0,0,70,27,39,19,3076,1438,6385,0.5,1.7
Ivan Radovanovic,SRB,30,Genoa,it Serie A,False,72,1,9,797,672,28,48,689,0,0,0,0,1924,0,0,2,0,13,924,2000000,1318,0.8,0,8,0,1,2,21,237,638,2044,24,0,2,63,28,41,18,3119,1533,4006,0.6,0.8
Oscar Plano,ESP,28,Valladolid,es La Liga,False,49,2,22,740,886,62,36,529,0,1,0,1,1878,1,6,3,4,23,1056,3200000,2505,4.3,0,11,0,0,2,34,426,656,1994,43,0,1,124,51,74,32,4136,2023,2499,2.7,4.3
